S.no,Description,Question,Answer
1611,"GV of stadium, during match 1 of the Women's T20 Challenge, 2019 between the Supernovas and the Trailblazers held at the Sawai Mansingh Stadium in Jaipur on the 6th May 2019Photo by Saikat Das /SPORTZPICS for BCCI","___________ of stadium,",GV
1612,"GV of stadium, during match 1 of the Women's T20 Challenge, 2019 between the Supernovas and the Trailblazers held at the Sawai Mansingh Stadium in Jaipur on the 6th May 2019Photo by Saikat Das /SPORTZPICS for BCCI","___________ of stadium,",GV
1613,"Sourav Ganguly Adviser of Delhi and Benjamin Stokes of RR shake hands after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhi and Benjamin Stokes of RR shake hands after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Sourav Ganguly Adviser
1614,"Players shake hands after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ shake hands after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Players
1615,"Prithvi Shaw of Delhi and Rishabh Pant of Delhi at interview after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhi and Rishabh Pant of Delhi at interview after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Prithvi Shaw
1616,"Prithvi Shaw of Delhi and Rishabh Pant of Delhi at interview after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhi and Rishabh Pant of Delhi at interview after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Prithvi Shaw
1617,"Prithvi Shaw of Delhi and Rishabh Pant of Delhi at interview after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhi and Rishabh Pant of Delhi at interview after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Prithvi Shaw
1618,"Ricky Ponting Coach of Delhi and Steve Smith of RR talk to each other after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Which former Australian captain is seen here with Steve Smith?,Ricky Ponting
1619,"Ricky Ponting Coach of Delhi and Steve Smith of RR talk to each other after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Which former Australian captain is seen here with Steve Smith?,Ricky Ponting Coach
1620,"Prithvi Shaw of DC at the press conference after the match during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC at the press conference after the match,Prithvi Shaw
1621,"Sanju Samson of RR at the press conference after the match during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR at the press conference after the match,Sanju Samson
1622,"Sourav Ganguly Adviser of Delhir react after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhir react after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Sourav Ganguly Adviser
1623,"Sourav Ganguly Adviser of Delhir react after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhir react after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",Sourav Ganguly Adviser
1624,"VIVO IPL 2019, Match 40 - RR vs Delhi",___________ vs Delhi,"VIVO IPL 2019, Match 40 - Rajasthan Royals"
1625,"VIVO IPL 2019, Match 40 - RR vs Delhi",___________ vs Delhi,"VIVO IPL 2019, Match 40 - Rajasthan Royals"
1626,"Sourav Ganguly Adviser of Delhi celebrate win with players after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhi celebrate win with players after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Sourav Ganguly Adviser
1627,"Sourav Ganguly Adviser of Delhi celebrate win with players after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhi celebrate win with players after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Sourav Ganguly Adviser
1628,"Sourav Ganguly Adviser of Delhi celebrate win with players after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of Delhi celebrate win with players after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Sourav Ganguly Adviser
1629,"Delhi players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the ___________ held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Delhi Capitals
1630,"Delhi players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the ___________ held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Delhi Capitals
1631,"Delhi players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the ___________ held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Delhi Capitals
1632,"Delhi players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the ___________ held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Delhi Capitals
1633,"Delhi players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the ___________ held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Delhi Capitals
1634,"Delhi players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the ___________ held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Delhi Capitals
1635,"Delhi players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ players celebrate win after the match 40 of the IPLSeason 12, 2019 between the RR and the ___________ held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Delhi Capitals
1636,"Rishabh Pant of DC and Colin Ingram of DC after winning a match during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC and Colin Ingram of DC after winning a match,Rishabh Pant
1637,"Rishabh Pant of DC and Colin Ingram of DC after winning a match during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC and Colin Ingram of DC after winning a match,Rishabh Pant
1638,"Rishabh Pant of DC and Colin Ingram of DC after winning a match during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC and Colin Ingram of DC after winning a match,Rishabh Pant
1639,"Rishabh Pant and Colin Ingram of Delhi celebrates win during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ and Colin Ingram of Delhi celebrates win,Rishabh Pant
1640,"Rishabh Pant of Delhi bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",Who is seen batting here?,Rishabh Pant
1641,"Rishabh Pant of DC plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Rishabh Pant
1642,"Rishabh Pant of DC plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Rishabh Pant
1643,"Riyan Parag of RR takes a catch of Sherfane Rutherford of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",Who is seen taking a catch here?,Riyan Parag
1644,"Sourav Ganguly Adviser of Delhi react during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Delhi react,Sourav Ganguly Adviser
1645,"Sourav Ganguly Adviser of Delhi react during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Delhi react,Sourav Ganguly Adviser
1646,"Sourav Ganguly Adviser of Delhi react during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Delhi react,Sourav Ganguly Adviser
1647,"Riyan Parag of RR takes the catch to dismiss Sherfane Rutherford of Delhi during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR takes the catch to dismiss Sherfane Rutherford,Riyan Parag
1648,"Jofra Archer of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR,Jofra Archer
1649,"Ball touch the stumps during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ touch the stumps,Ball
1650,"Prithvi Shaw of Delhi survives near dismissal, ball touches stumps but bails remain intact during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI","___________ of Delhi survives near dismissal, ball touches stumps but bails remain intact",Prithvi Shaw
1651,"Prithvi Shaw of DC plays shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays shot,Prithvi Shaw
1652,"Rishabh Pant of DC plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Rishabh Pant
1653,"Steve Smith during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________,Steve Smith
1654,"Rishabh Pant of Delhi bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bats,Rishabh Pant
1655,"Rishabh Pant of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC,Rishabh Pant
1656,"Rishabh Pant of DC and Prithvi Shaw of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC and Prithvi Shaw of DC,Rishabh Pant
1657,"Rishabh Pant of Delhi bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bats,Rishabh Pant
1658,"Prithvi Shaw of DC plays shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays shot,Prithvi Shaw
1659,"Rishabh Pant of Delhi bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bats,Rishabh Pant
1660,"Prithvi Shaw and Rishabh Pant of Delhi during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ and Rishabh Pant of Delhi,Prithvi Shaw
1661,"Rishabh Pant of DC plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Rishabh Pant
1662,"Rishabh Pant of DC plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Rishabh Pant
1663,"Ben Stokes of RR takes a catch of Shreyas Iyer captain of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR takes a catch of Shreyas Iyer captain of DC,Ben Stokes
1664,"Riyan Parag of RR celebrates after dismissing Shreyas Iyer captain of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR celebrates after dismissing Shreyas Iyer captain of DC,Riyan Parag
1665,"RR huddle during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ huddle,Rajasthan Royals
1666,"Umpires entering on field during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ entering on field,Umpires
1667,"Rajeev Shukla with officail during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ with officail,Rajeev Shukla
1668,"Colin Munro of Delhi and Trent Boult of Delhi with ball boy during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Delhi and Trent Boult of Delhi with ball boy,Colin Munro
1669,"Riyan Parag of RR celebrates the wicket of Shreyas Iyer captain of Delhi during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR celebrates the wicket of Shreyas Iyer captain of Delhi,Riyan Parag
1670,"Dj during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Dj
1671,"Benjamin Stokes of RR takes the catch to dismiss Shreyas Iyer captain of Delhi during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR takes the catch to dismiss Shreyas Iyer captain of Delhi,Benjamin Stokes
1672,"Delhi officials during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ officials,Delhi Capitals
1673,"Riyan Parag of RR celebrates the wicket of Shreyas Iyer captain of Delhi during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR celebrates the wicket of Shreyas Iyer captain of Delhi,Riyan Parag
1674,"Delhi officials during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ officials,Delhi Capitals
1675,"Colin Munro of Delhi and Trent Boult of Delhi during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Delhi and Trent Boult of Delhi,Colin Munro
1676,"Shreyas Gopal of RR celebrates after dismissing Shikhar Dhawan of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR celebrates after dismissing Shikhar Dhawan of DC,Shreyas Gopal
1677,"Shreyas Gopal of RR celebrates after dismissing Shikhar Dhawan of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR celebrates after dismissing Shikhar Dhawan of DC,Shreyas Gopal
1678,"Shikhar Dhawan of Delhi celebrates his fifty during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi celebrates his fifty,Shikhar Dhawan
1679,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1680,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1681,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1682,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1683,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1684,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1685,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1686,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1687,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1688,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1689,"Fans during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
1690,"Drum artist performed during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ artist performed,Drum
1691,"Drum artist performed during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ artist performed,Drum
1692,"Ashton Turner of RR drops the catch during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR drops the catch,Ashton Turner
1693,"Shikhar Dhawan of Delhi bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",Identify the batsman,Shikhar Dhawan
1694,"Ashton Turner of RR drops catch of Prithvi Shaw of Delhi during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",Which RR player is shwon dropping a catch?,Ashton Turner
1695,"Shreyas Gopal of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR,Shreyas Gopal
1696,"Prithvi Shaw of DC plays shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays shot,Prithvi Shaw
1697,"Cheerleaders in action during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ in action,Cheerleaders
1698,"Cheerleaders in action during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ in action,Cheerleaders
1699,"Cheerleaders in action during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ in action,Cheerleaders
1700,"Cheerleaders in action during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ in action,Cheerleaders
1701,"Cheerleaders in action during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ in action,Cheerleaders
1702,"Cheerleaders in action during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ in action,Cheerleaders
1703,"Shikhar Dhawan of Delhi bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bats,Shikhar Dhawan
1704,"Shikhar Dhawan of DC plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Shikhar Dhawan
1705,"Steve Smith during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________,Steve Smith
